OBJECTID,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
148,7985,2684536,Western Warm Temperate Close Grown Crop,7985,2965,Da Close Grown Crop,Agriculture,Agricultural,65,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,237,119,1,0.929412,0.466667
149,7986,6085178,Western Warm Temperate Fallow/Idle Cropland,7986,2966,Dab Fallow/Idle Cropland,Herb,Agricultural,66,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,255,119,1,1,0.466667
150,7987,3719707,Western Warm Temperate Pasture and Hayland,7987,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196,0.831373,0.109804
151,7988,1153334,Western Warm Temperate Wheat,7988,2968,Da Wheat,Agriculture,Agricultural,68,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,227,163,0.980392,0.890196,0.639216
152,7989,8975,Western Warm Temperate Aquaculture,7989,2969,Da Aquaculture,Agriculture,Agricultural,69,Agricultural-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,210,255,237,0.823529,1,0.929412
153,9003,36654,Great Basin Foothill and Lower Montane Riparian Woodland,9003,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,73,171,186,0.286275,0.670588,0.729412
154,9004,4784,Inter-Mountain Basins Active and Stabilized Dune,9004,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
155,9005,148924,Inter-Mountain Basins Alkaline Closed Depression,9005,2224,He Inter-Mountain Basins Alkaline Closed Depression,Herb,Riparian,650,Depressional Wetland,LF 56: Western Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,250,100,56,0.980392,0.392157,0.219608
156,9006,1128899,Inter-Mountain Basins Cliff and Canyon,9006,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
157,9008,1760428,Inter-Mountain Basins Playa,9008,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
158,9010,618890,Inter-Mountain Basins Wash,9010,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
159,9011,812658,North American Arid West Emergent Marsh,9011,2225,He North American Arid West Emergent Marsh,Herb,Riparian,765,Freshwater Marsh,LF 56: Western Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,250,100,56,0.980392,0.392157,0.219608
160,9016,20,Rocky Mountain Alpine Bedrock and Scree,9016,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
161,9017,24988,Rocky Mountain Alpine-Montane Wet Meadow,9017,2176,He Rocky Mountain Alpine-Montane Wet Meadow,Herb,Riparian,669,Western Herbaceous Wetland,SRM 422: Riparian,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,184,96,24,0.721569,0.376471,0.094118
162,9018,6717,Rocky Mountain Cliff Canyon and Massive Bedrock,9018,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
163,9021,11101,Rocky Mountain Subalpine-Montane Riparian Shrubland,9021,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,184,96,24,0.721569,0.376471,0.094118
164,9022,13508,Rocky Mountain Subalpine-Montane Riparian Woodland,9022,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,184,96,24,0.721569,0.376471,0.094118
165,9030,110351,Columbia Plateau Silver Sagebrush Seasonally Flooded Shrub-Steppe,9030,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,184,96,24,0.721569,0.376471,0.094118
166,9032,202,Columbia Plateau Ash and Tuff Badland,9032,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
167,9034,35527,North American Warm Desert Riparian Woodland,9034,2155,Tr North American Warm Desert Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
168,9035,5459,North American Warm Desert Lower Montane Riparian Woodland,9035,2155,Tr North American Warm Desert Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
169,9062,1697470,Central California Coast Ranges Cliff and Canyon,9062,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
170,9110,400143,Klamath-Siskiyou Cliff and Outcrop,9110,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
171,9125,4753221,Mediterranean California Alpine Bedrock and Scree,9125,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
172,9129,1893243,Mediterranean California Foothill and Lower Montane Riparian Woodland,9129,2152,Tr California Montane Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
173,9130,131822,Mediterranean California Northern Coastal Dune,9130,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
174,9133,5673,Mediterranean California Serpentine Foothill and Lower Montane Riparian Woodland and Seep,9133,2152,Tr California Montane Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
175,9134,16630,Mediterranean California Southern Coastal Dune,9134,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
176,9145,1908463,North American Warm Desert Active and Stabilized Dune,9145,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
177,9146,1926542,North American Warm Desert Badland,9146,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
178,9147,5507350,North American Warm Desert Bedrock Cliff and Outcrop,9147,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
179,9148,57275,North American Warm Desert Cienega,9148,2155,Tr North American Warm Desert Riparian Systems,Herb,Riparian,669,Western Herbaceous Wetland,LF 56: Western Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,81,180,141,0.317647,0.705882,0.552941
180,9150,18962434,North American Warm Desert Pavement,9150,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
181,9151,5448976,North American Warm Desert Playa,9151,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
182,9152,1636,North American Warm Desert Riparian Mesquite Bosque Woodland,9152,2155,Tr North American Warm Desert Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
183,9153,1001192,North American Warm Desert Volcanic Rockland,9153,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
184,9154,709,North American Warm Desert Wash Woodland,9154,2155,Tr North American Warm Desert Riparian Systems,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
185,9160,202207,North Pacific Active Volcanic Rock and Cinder Land,9160,2003,Sps North Pacific Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
186,9213,2861773,Sierra Nevada Cliff and Canyon,9213,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
187,9246,470843,Southern California Coast Ranges Cliff and Canyon,9246,2002,Sps Mediterranean California Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,700,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
188,9272,678509,Temperate Pacific Subalpine-Montane Wet Meadow,9272,2236,He Temperate Pacific Subalpine-Montane Wet Meadow,Herb,Riparian,675,Inland Marshes and Prairies,SRM 217: Wetlands,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,127,59,1,0.498039,0.231373
189,9301,34874701,California Ruderal Grassland and Meadow,9301,2270,Sh California Ruderal Grassland Meadow & Scrub,Herb,Exotic Herbaceous,704,Introduced Annual and Biennial Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
190,9302,1440523,Californian Ruderal Forest,9302,2271,Tr Californian Ruderal Forest,Tree,Exotic Tree-Shrub,707,Introduced Upland Vegetation-Treed,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,59,20,1,0.231373,0.078431
191,9307,144677,Great Basin & Intermountain Introduced Annual and Biennial Forbland,9307,2272,He Great Basin & Intermountain Introduced Annual and Biennial Forbland,Herb,Exotic Herbaceous,704,Introduced Annual and Biennial Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
192,9308,1710668,Great Basin & Intermountain Introduced Annual Grassland,9308,2273,He Great Basin & Intermountain Introduced Annual Grassland,Herb,Exotic Herbaceous,702,Introduced Annual Grassland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,105,46,1,0.411765,0.180392
193,9309,196230,Great Basin & Intermountain Introduced Perennial Grassland and Forbland,9309,2274,He Great Basin & Intermountain Introduced Perennial Grassland and Forbland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1,0.411765,0.180392
194,9310,1593038,North American Warm Desert Ruderal & Planted Scrub,9310,2275,Sh North American Warm Desert Ruderal & Planted Scrub & Grassland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
195,9326,6083,Southern Vancouverian Lowland Ruderal Shrubland,9326,2277,Sh Southern Vancouverian Lowland Ruderal Grassland & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
196,9327,65228,Interior West Ruderal Riparian Forest,9327,2278,Tr Interior West Ruderal Riparian Forest & Scrub,Tree,Riparian,701,Introduced Riparian Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1,0.411765,0.180392
197,9328,572401,Interior Western North American Temperate Ruderal Shrubland,9328,2279,Sh Interior Western North American Temperate Ruderal Grassland & Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
198,9329,366249,Western North American Ruderal Wet Shrubland,9329,2280,Sh Western North American Ruderal Wet Shrubland Meadow & Marsh,Shrub,Riparian,708,Introduced Woody Wetland Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
199,9336,2351111,Great Basin & Intermountain Ruderal Shrubland,9336,2282,Sh Great Basin & Intermountain Ruderal Shrubland,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
200,9337,5034517,California Ruderal Scrub,9301,2270,Sh California Ruderal Grassland Meadow & Scrub,Shrub,Exotic Tree-Shrub,706,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
201,9503,145473,Great Basin Foothill and Lower Montane Riparian Shrubland,9003,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,73,171,186,0.286275,0.670588,0.729412
202,9505,30048,Great Basin Foothill and Lower Montane Riparian Herbaceous,9003,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Herb,Riparian,635,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,73,171,186,0.286275,0.670588,0.729412
203,9533,14696,North American Warm Desert Riparian Herbaceous,9034,2155,Tr North American Warm Desert Riparian Systems,Herb,Riparian,669,Western Herbaceous Wetland,LF 56: Western Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,81,180,141,0.317647,0.705882,0.552941
204,9534,524623,North American Warm Desert Riparian Shrubland,9034,2155,Tr North American Warm Desert Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Shrub-dominated,Shrubland,Deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
205,9535,4236,North American Warm Desert Lower Montane Riparian Shrubland,9035,2155,Tr North American Warm Desert Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Shrub-dominated,Shrubland,Deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
206,9629,752889,Mediterranean California Foothill and Lower Montane Riparian Shrubland,9129,2152,Tr California Montane Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
207,9633,12067,Mediterranean California Serpentine Foothill and Lower Montane Riparian Shrubland and Seep,9133,2152,Tr California Montane Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
208,9652,12320,North American Warm Desert Riparian Mesquite Bosque Shrubland,9152,2155,Tr North American Warm Desert Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Shrub-dominated,Shrubland,Deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
209,9654,6692,North American Warm Desert Wash Shrubland,9154,2155,Tr North American Warm Desert Riparian Systems,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
210,9810,1120566,North American Warm Desert Ruderal & Planted Grassland,9310,2275,Sh North American Warm Desert Ruderal & Planted Scrub & Grassland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1,0.411765,0.180392
211,9826,247,Southern Vancouverian Lowland Ruderal Grassland,9326,2277,Sh Southern Vancouverian Lowland Ruderal Grassland & Shrubland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1,0.411765,0.180392
212,9827,165240,Interior West Ruderal Riparian Scrub,9327,2278,Tr Interior West Ruderal Riparian Forest & Scrub,Shrub,Riparian,701,Introduced Riparian Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,105,46,1,0.411765,0.180392
213,9828,592176,Interior Western North American Temperate Ruderal Grassland,9328,2279,Sh Interior Western North American Temperate Ruderal Grassland & Shrubland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1,0.411765,0.180392
214,9829,1661931,Western North American Ruderal Wet Meadow & Marsh,9329,2280,Sh Western North American Ruderal Wet Shrubland Meadow & Marsh,Herb,Riparian,709,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1,0.411765,0.180392
